index, AvgSSIM, MinSSIM
0, 0.99828, 0.992681
1, 0.995111, 0.980693
2, 0.992787, 0.969726
3, 0.991694, 0.962716
4, 0.991489, 0.959888
5, 0.991476, 0.958736
6, 0.991571, 0.955654
7, 0.991863, 0.954539
8, 0.992148, 0.955473
9, 0.992423, 0.955745
10, 0.992729, 0.957231
11, 0.993215, 0.956829
12, 0.993362, 0.955537
13, 0.993748, 0.95522
14, 0.993964, 0.954745
15, 0.993956, 0.955085
16, 0.993892, 0.954401
17, 0.993929, 0.953636
18, 0.99389, 0.953785
19, 0.993803, 0.951718
20, 0.993852, 0.947302
21, 0.994062, 0.947558
22, 0.994565, 0.950502
23, 0.995094, 0.959115
24, 0.995579, 0.963557
25, 0.99584, 0.96537
26, 0.996048, 0.967774
27, 0.996336, 0.969121
28, 0.996469, 0.96925
29, 0.996719, 0.970318
30, 0.996873, 0.971186
31, 0.997106, 0.97087
32, 0.997083, 0.971196
33, 0.997011, 0.97158
34, 0.99693, 0.970271
35, 0.997203, 0.975203
36, 0.997574, 0.978343
37, 0.997845, 0.980596
38, 0.997929, 0.981086
39, 0.998112, 0.983582
40, 0.998381, 0.984885
41, 0.998537, 0.986667
42, 0.998574, 0.985263
43, 0.998693, 0.984073
44, 0.998719, 0.983299
45, 0.99885, 0.98323
46, 0.998923, 0.983503
47, 0.998899, 0.981664
48, 0.998725, 0.976289
49, 0.99861, 0.969199
50, 0.9985, 0.965305
51, 0.99848, 0.962369
52, 0.998433, 0.960181
53, 0.998414, 0.962939
54, 0.998677, 0.970238
55, 0.998973, 0.978637
56, 0.999133, 0.982517
57, 0.999162, 0.986743
58, 0.999213, 0.988905
59, 0.999329, 0.991939
60, 0.999491, 0.995365
61, 0.999599, 0.995795
62, 0.999677, 0.995455
63, 0.999667, 0.995879
64, 0.999577, 0.995973
65, 0.999299, 0.994463
66, 0.999155, 0.992759
67, 0.999119, 0.991855
68, 0.999037, 0.991659
69, 0.998922, 0.990906
70, 0.998725, 0.988621
71, 0.998306, 0.985768
72, 0.99756, 0.982295
73, 0.997079, 0.981579
74, 0.996662, 0.981019
75, 0.996192, 0.981015
76, 0.995796, 0.980718
77, 0.99557, 0.978483
78, 0.995274, 0.976795
79, 0.99485, 0.974347
80, 0.994799, 0.972672
81, 0.995019, 0.973192
82, 0.995651, 0.976069
83, 0.996359, 0.979555
84, 0.997161, 0.984059
85, 0.997585, 0.985034
86, 0.997948, 0.985105
87, 0.998242, 0.986621
88, 0.998509, 0.989691
89, 0.999019, 0.992281
90, 0.99954, 0.995504
91, 0.999758, 0.996948
92, 0.999886, 0.997784
93, 0.999839, 0.995761
94, 0.999764, 0.993657
95, 0.999699, 0.992483
96, 0.999602, 0.990135
97, 0.999476, 0.989481
98, 0.999247, 0.987939
99, 0.998973, 0.989132
100, 0.998802, 0.98939
101, 0.998666, 0.989345
102, 0.998666, 0.98905
103, 0.998572, 0.989764
104, 0.998609, 0.989704
105, 0.99907, 0.98972
106, 0.999459, 0.990494
107, 0.999619, 0.988492
108, 0.999623, 0.987271
109, 0.999534, 0.987529
110, 0.999438, 0.987121
111, 0.99934, 0.986327
112, 0.999282, 0.986945
113, 0.999382, 0.988883
114, 0.999501, 0.990144
115, 0.999606, 0.992045
116, 0.999674, 0.992801
117, 0.999663, 0.993686
118, 0.99968, 0.994613
119, 0.999657, 0.994532
120, 0.999669, 0.994942
121, 0.999721, 0.995892
122, 0.999731, 0.995745
123, 0.999788, 0.996375
124, 0.999865, 0.996905
125, 0.999884, 0.99689
126, 0.999832, 0.996541
127, 0.999809, 0.996562
128, 0.999695, 0.995153
129, 0.999595, 0.993406
130, 0.999442, 0.989284
131, 0.99935, 0.984465
132, 0.999324, 0.985455
133, 0.999436, 0.988384
134, 0.999515, 0.989536
135, 0.999616, 0.991917
136, 0.999689, 0.994091
137, 0.999679, 0.994915
138, 0.999624, 0.993557
139, 0.99954, 0.991618
140, 0.999474, 0.991384
141, 0.999327, 0.991354
142, 0.999285, 0.991622
143, 0.999332, 0.991624
144, 0.999274, 0.991393
145, 0.999157, 0.989819
146, 0.99899, 0.985142
147, 0.999084, 0.986759
148, 0.999259, 0.990525
149, 0.999325, 0.99163
150, 0.999457, 0.99484
151, 0.9996, 0.996353
152, 0.999676, 0.996471
153, 0.999716, 0.996784
154, 0.99972, 0.99678
155, 0.999675, 0.996959
156, 0.999592, 0.99669
157, 0.999504, 0.995201
158, 0.999504, 0.994435
159, 0.999584, 0.994309
160, 0.999565, 0.994105
161, 0.999589, 0.99389
162, 0.999681, 0.99517
163, 0.999787, 0.996133
164, 0.999769, 0.995856
165, 0.999746, 0.995541
166, 0.999715, 0.995155
