index, AvgSSIM, MinSSIM
0, 0.998098, 0.991588
1, 0.994314, 0.977819
2, 0.991102, 0.965275
3, 0.989217, 0.957271
4, 0.988328, 0.956064
5, 0.98772, 0.950504
6, 0.98732, 0.946211
7, 0.987134, 0.944284
8, 0.986891, 0.94491
9, 0.986646, 0.944765
10, 0.986442, 0.945218
11, 0.986497, 0.943277
12, 0.98623, 0.940963
13, 0.986353, 0.940952
14, 0.986283, 0.938936
15, 0.985919, 0.936421
16, 0.985559, 0.933514
17, 0.98529, 0.929278
18, 0.98493, 0.927277
19, 0.984549, 0.924683
20, 0.98435, 0.923385
21, 0.984358, 0.92521
22, 0.984649, 0.926563
23, 0.984833, 0.925947
24, 0.98492, 0.926238
25, 0.984755, 0.92654
26, 0.98445, 0.926409
27, 0.984294, 0.9264
28, 0.983924, 0.923868
29, 0.983943, 0.921615
30, 0.983922, 0.919881
31, 0.984076, 0.919847
32, 0.983709, 0.920972
33, 0.983205, 0.922182
34, 0.98247, 0.91746
35, 0.982432, 0.919175
36, 0.982774, 0.924296
37, 0.983181, 0.928548
38, 0.983305, 0.933083
39, 0.983557, 0.935176
40, 0.984005, 0.937576
41, 0.984271, 0.938376
42, 0.984219, 0.938744
43, 0.984422, 0.93994
44, 0.98443, 0.939726
45, 0.984876, 0.936631
46, 0.985186, 0.929127
47, 0.985233, 0.922903
48, 0.98491, 0.921836
49, 0.984846, 0.918213
50, 0.984978, 0.916392
51, 0.985568, 0.915176
52, 0.986108, 0.909465
53, 0.986447, 0.902311
54, 0.986965, 0.901619
55, 0.98816, 0.90436
56, 0.988922, 0.906143
57, 0.989845, 0.910637
58, 0.990541, 0.92887
59, 0.990688, 0.938
60, 0.990781, 0.936277
61, 0.990594, 0.935472
62, 0.990553, 0.935347
63, 0.990722, 0.941756
64, 0.991105, 0.945209
65, 0.992136, 0.95161
66, 0.992512, 0.953991
67, 0.99269, 0.949894
68, 0.992869, 0.94587
69, 0.993119, 0.943699
70, 0.994106, 0.953866
71, 0.995588, 0.963808
72, 0.996755, 0.970625
73, 0.997461, 0.97204
74, 0.998123, 0.97644
75, 0.998697, 0.981461
76, 0.999021, 0.984566
77, 0.999163, 0.986323
78, 0.999282, 0.987485
79, 0.999418, 0.989761
80, 0.999479, 0.991809
81, 0.999477, 0.992705
82, 0.999407, 0.992101
83, 0.999367, 0.990725
84, 0.999189, 0.988105
85, 0.999029, 0.986319
86, 0.998749, 0.983816
87, 0.998228, 0.977757
88, 0.997882, 0.970608
89, 0.997559, 0.968776
90, 0.99705, 0.970119
91, 0.996399, 0.96987
92, 0.995592, 0.966856
93, 0.995168, 0.959426
94, 0.994737, 0.952298
95, 0.994122, 0.94533
96, 0.993483, 0.93977
97, 0.992464, 0.938179
98, 0.991262, 0.935601
99, 0.990203, 0.944207
100, 0.989658, 0.946999
101, 0.989296, 0.947182
102, 0.98928, 0.945978
103, 0.989474, 0.944882
104, 0.989894, 0.945863
105, 0.991478, 0.949319
106, 0.992751, 0.950146
107, 0.993121, 0.949147
108, 0.993931, 0.952281
109, 0.994592, 0.952318
110, 0.995364, 0.956255
111, 0.995877, 0.962388
112, 0.996272, 0.964992
113, 0.996099, 0.963543
114, 0.996044, 0.963319
115, 0.995885, 0.959083
116, 0.995824, 0.957304
117, 0.996014, 0.95986
118, 0.99606, 0.961832
119, 0.996157, 0.96099
120, 0.99606, 0.960567
121, 0.995931, 0.960924
122, 0.995802, 0.960273
123, 0.995694, 0.961064
124, 0.995495, 0.963157
125, 0.995339, 0.960791
126, 0.995404, 0.959893
127, 0.995359, 0.959485
128, 0.995385, 0.958733
129, 0.995495, 0.959038
130, 0.9956, 0.959256
131, 0.995705, 0.960748
132, 0.995888, 0.963458
133, 0.996113, 0.966066
134, 0.996324, 0.968622
135, 0.99659, 0.972305
136, 0.996487, 0.973913
137, 0.996519, 0.975964
138, 0.996677, 0.977391
139, 0.996937, 0.976594
140, 0.997061, 0.971701
141, 0.997509, 0.976413
142, 0.997706, 0.977468
143, 0.997728, 0.978979
144, 0.997662, 0.978096
145, 0.997131, 0.972246
146, 0.996907, 0.968461
147, 0.997048, 0.96737
148, 0.997217, 0.966475
149, 0.997449, 0.965481
150, 0.9977, 0.970746
151, 0.997978, 0.977932
152, 0.998141, 0.984762
153, 0.998244, 0.986944
154, 0.998376, 0.986852
155, 0.998581, 0.986894
156, 0.998756, 0.986854
157, 0.998882, 0.986072
158, 0.998902, 0.986333
159, 0.998858, 0.986614
160, 0.998866, 0.987415
161, 0.998823, 0.988362
162, 0.998714, 0.987126
163, 0.998588, 0.986109
164, 0.998585, 0.985429
165, 0.998612, 0.983907
166, 0.998472, 0.981367
167, 0.998388, 0.97989
168, 0.998275, 0.981509
169, 0.998081, 0.981812
170, 0.99793, 0.982355
171, 0.997894, 0.978374
172, 0.997867, 0.975207
173, 0.997894, 0.971924
174, 0.997981, 0.971943
175, 0.997939, 0.969495
176, 0.997963, 0.969469
177, 0.99792, 0.971038
178, 0.997905, 0.973732
179, 0.997974, 0.975573
180, 0.997946, 0.977048
181, 0.997998, 0.974942
182, 0.998024, 0.9727
183, 0.998035, 0.972686
184, 0.998182, 0.977994
185, 0.998071, 0.980655
186, 0.997768, 0.977658
187, 0.997483, 0.974777
188, 0.997284, 0.971735
189, 0.997245, 0.970414
190, 0.997182, 0.969315
191, 0.997034, 0.967548
192, 0.996958, 0.968337
193, 0.99699, 0.968999
194, 0.997101, 0.969076
195, 0.997286, 0.969432
196, 0.99731, 0.968648
197, 0.997457, 0.96879
198, 0.997677, 0.970691
199, 0.997565, 0.970266
200, 0.997333, 0.968083
201, 0.997163, 0.966569
202, 0.996984, 0.96581
203, 0.996979, 0.965951
204, 0.99706, 0.967144
205, 0.997169, 0.967741
206, 0.997115, 0.968345
207, 0.997073, 0.969117
208, 0.997252, 0.971243
209, 0.99732, 0.97229
210, 0.997312, 0.971166
211, 0.997048, 0.968537
212, 0.996569, 0.962209
213, 0.996063, 0.954837
214, 0.995688, 0.954116
215, 0.995452, 0.952423
216, 0.99508, 0.950463
217, 0.994841, 0.948011
218, 0.994851, 0.947858
219, 0.99489, 0.949141
220, 0.994899, 0.949
221, 0.994998, 0.949741
222, 0.995023, 0.950241
223, 0.994968, 0.950367
224, 0.994878, 0.950902
225, 0.995188, 0.953497
226, 0.99562, 0.956499
227, 0.995865, 0.958909
228, 0.996133, 0.961122
229, 0.996249, 0.963945
230, 0.996422, 0.965291
231, 0.996556, 0.96726
232, 0.996868, 0.970675
