index, AvgSSIM, MinSSIM
0, 0.998178, 0.99212
1, 0.994623, 0.979769
2, 0.991752, 0.968037
3, 0.990193, 0.960308
4, 0.989605, 0.957235
5, 0.989284, 0.95622
6, 0.989134, 0.952679
7, 0.989195, 0.950941
8, 0.98922, 0.951837
9, 0.989262, 0.950696
10, 0.98936, 0.950876
11, 0.989691, 0.949691
12, 0.989686, 0.948491
13, 0.990029, 0.948088
14, 0.990183, 0.945719
15, 0.990067, 0.943763
16, 0.989925, 0.942561
17, 0.98985, 0.939046
18, 0.989693, 0.938239
19, 0.989499, 0.935707
20, 0.989458, 0.935168
21, 0.989613, 0.936435
22, 0.990088, 0.940293
23, 0.990519, 0.943011
24, 0.990896, 0.946221
25, 0.991038, 0.947623
26, 0.991093, 0.94728
27, 0.991283, 0.94862
28, 0.991267, 0.948157
29, 0.991496, 0.947543
30, 0.991658, 0.946648
31, 0.991951, 0.942755
32, 0.991828, 0.938977
33, 0.991621, 0.937434
34, 0.991326, 0.934053
35, 0.991603, 0.938999
36, 0.992127, 0.945937
37, 0.992591, 0.9495
38, 0.992779, 0.953614
39, 0.993108, 0.957079
40, 0.993602, 0.961492
41, 0.993922, 0.963989
42, 0.993996, 0.965741
43, 0.99425, 0.967092
44, 0.994364, 0.968458
45, 0.994746, 0.969049
46, 0.994999, 0.969998
47, 0.995037, 0.969903
48, 0.994775, 0.963715
49, 0.994713, 0.954499
50, 0.994722, 0.946159
51, 0.995006, 0.940579
52, 0.995209, 0.935629
53, 0.995351, 0.931704
54, 0.995753, 0.942191
55, 0.996515, 0.954293
56, 0.996977, 0.9611
57, 0.997464, 0.965206
58, 0.99786, 0.969151
59, 0.998087, 0.974239
60, 0.998296, 0.978559
61, 0.998309, 0.980912
62, 0.99836, 0.982248
63, 0.99842, 0.982837
64, 0.998518, 0.983536
65, 0.998819, 0.986357
66, 0.998889, 0.986822
67, 0.998955, 0.986381
68, 0.998923, 0.982048
69, 0.99886, 0.979317
70, 0.999022, 0.983676
71, 0.999203, 0.989608
72, 0.99906, 0.985615
73, 0.998929, 0.984366
74, 0.998807, 0.983916
75, 0.99858, 0.983784
76, 0.998295, 0.983303
77, 0.998034, 0.981528
78, 0.997743, 0.980907
79, 0.997382, 0.978946
80, 0.997252, 0.977949
81, 0.9973, 0.979017
82, 0.997638, 0.982702
83, 0.998089, 0.986044
84, 0.998585, 0.988436
85, 0.998837, 0.98967
86, 0.999027, 0.990383
87, 0.999112, 0.991462
88, 0.999225, 0.992731
89, 0.999559, 0.994332
90, 0.999849, 0.997269
91, 0.999907, 0.995893
92, 0.999822, 0.991188
93, 0.999697, 0.987404
94, 0.999528, 0.983493
95, 0.999335, 0.981351
96, 0.999117, 0.978711
97, 0.998814, 0.978378
98, 0.998288, 0.977008
99, 0.997763, 0.979192
100, 0.997473, 0.979863
101, 0.997258, 0.980643
102, 0.997245, 0.980502
103, 0.997196, 0.979926
104, 0.997328, 0.981186
105, 0.998135, 0.983944
106, 0.998827, 0.986799
107, 0.999098, 0.986445
108, 0.99931, 0.988758
109, 0.999327, 0.988792
110, 0.999325, 0.986561
111, 0.999273, 0.984258
112, 0.999237, 0.984018
113, 0.999206, 0.984537
114, 0.999245, 0.985316
115, 0.999286, 0.986997
116, 0.999323, 0.988047
117, 0.999359, 0.988228
118, 0.999375, 0.989062
119, 0.999369, 0.988368
120, 0.999343, 0.989139
121, 0.999363, 0.990452
122, 0.999332, 0.990863
123, 0.9994, 0.991795
124, 0.99947, 0.992746
125, 0.999487, 0.992982
126, 0.99945, 0.992333
127, 0.999414, 0.992129
128, 0.999314, 0.992318
129, 0.999221, 0.991811
130, 0.999102, 0.990287
131, 0.99906, 0.985526
132, 0.999058, 0.986308
133, 0.999186, 0.989222
134, 0.999243, 0.989736
135, 0.999345, 0.991811
136, 0.999397, 0.992383
137, 0.999395, 0.99195
138, 0.999362, 0.990091
139, 0.999324, 0.986974
140, 0.999274, 0.985738
141, 0.999216, 0.985242
142, 0.999212, 0.985671
143, 0.999245, 0.984718
144, 0.999177, 0.983265
145, 0.998968, 0.98211
146, 0.998764, 0.981665
147, 0.998843, 0.982922
148, 0.99901, 0.985692
149, 0.999096, 0.986902
150, 0.99926, 0.988055
151, 0.999465, 0.989456
152, 0.999537, 0.989715
153, 0.999571, 0.990911
154, 0.999574, 0.991161
155, 0.999555, 0.991075
156, 0.999526, 0.990628
157, 0.999488, 0.991049
158, 0.999499, 0.992392
159, 0.99955, 0.992396
160, 0.999559, 0.992137
161, 0.999573, 0.991472
162, 0.999653, 0.992698
163, 0.999767, 0.994832
164, 0.999754, 0.994293
165, 0.999771, 0.995336
166, 0.999771, 0.994578
167, 0.999663, 0.992764
168, 0.99953, 0.991781
169, 0.999324, 0.989458
170, 0.999134, 0.987969
171, 0.999048, 0.985742
172, 0.999027, 0.985924
173, 0.999037, 0.989105
174, 0.999057, 0.989347
175, 0.998965, 0.989212
176, 0.998857, 0.988188
177, 0.998877, 0.987897
178, 0.998964, 0.987809
179, 0.999063, 0.98907
180, 0.999165, 0.990474
181, 0.999268, 0.992828
182, 0.999441, 0.994025
183, 0.999644, 0.994387
184, 0.999796, 0.996392
185, 0.999866, 0.995097
186, 0.999795, 0.993744
187, 0.999707, 0.992545
188, 0.999588, 0.99191
189, 0.999521, 0.991703
190, 0.99946, 0.991698
191, 0.999441, 0.990289
192, 0.999479, 0.990458
193, 0.999518, 0.990296
194, 0.999529, 0.990532
195, 0.999536, 0.991293
196, 0.999513, 0.991133
197, 0.999532, 0.991752
198, 0.999566, 0.992683
199, 0.999591, 0.992932
200, 0.9996, 0.992821
201, 0.999613, 0.993253
202, 0.999613, 0.992996
203, 0.999626, 0.99317
204, 0.999635, 0.993544
205, 0.999654, 0.994121
206, 0.99964, 0.993688
207, 0.999652, 0.993471
208, 0.999734, 0.994591
209, 0.999734, 0.994411
210, 0.999642, 0.993741
211, 0.999474, 0.99149
212, 0.999196, 0.986057
213, 0.998849, 0.98218
214, 0.998621, 0.982551
215, 0.998435, 0.983804
216, 0.998133, 0.982929
217, 0.997859, 0.981085
218, 0.997722, 0.979545
219, 0.997728, 0.980611
220, 0.997757, 0.980485
221, 0.997866, 0.979494
222, 0.997951, 0.979447
223, 0.998062, 0.980805
224, 0.998034, 0.980243
225, 0.998229, 0.980243
226, 0.99851, 0.981447
227, 0.998626, 0.981067
228, 0.998645, 0.979362
229, 0.998644, 0.980241
230, 0.998705, 0.981731
231, 0.998708, 0.982528
232, 0.998805, 0.984087
233, 0.998856, 0.984985
234, 0.998925, 0.986109
235, 0.999008, 0.986924
236, 0.999171, 0.988696
