index, AvgSSIM, MinSSIM
0, 0.99845, 0.992935
1, 0.99582, 0.981573
2, 0.994104, 0.971935
3, 0.993397, 0.964874
4, 0.99346, 0.963383
5, 0.993687, 0.962102
6, 0.993952, 0.959948
7, 0.994394, 0.960568
8, 0.99484, 0.962283
9, 0.995195, 0.963648
10, 0.995531, 0.966253
11, 0.995992, 0.967459
12, 0.996163, 0.967313
13, 0.996482, 0.967737
14, 0.996691, 0.969464
15, 0.996736, 0.97019
16, 0.996721, 0.968708
17, 0.996816, 0.967143
18, 0.996821, 0.965599
19, 0.996771, 0.964466
20, 0.996834, 0.961933
21, 0.997015, 0.961277
22, 0.997408, 0.964739
23, 0.997873, 0.974324
24, 0.998272, 0.980188
25, 0.998484, 0.982709
26, 0.998646, 0.984816
27, 0.998847, 0.985621
28, 0.998954, 0.986916
29, 0.999091, 0.987871
30, 0.999155, 0.988896
31, 0.999255, 0.989725
32, 0.999227, 0.989952
33, 0.999185, 0.988049
34, 0.999151, 0.988512
35, 0.999304, 0.988158
36, 0.999472, 0.988876
37, 0.999556, 0.987301
38, 0.999569, 0.98867
39, 0.999617, 0.989885
40, 0.999679, 0.990793
41, 0.999705, 0.99092
42, 0.999699, 0.990189
43, 0.999681, 0.989427
44, 0.999618, 0.988448
45, 0.999599, 0.988099
46, 0.999586, 0.98822
47, 0.999538, 0.986076
48, 0.999435, 0.982978
49, 0.999316, 0.978256
50, 0.999218, 0.97765
51, 0.999107, 0.977186
52, 0.998974, 0.977524
53, 0.998897, 0.979298
54, 0.999075, 0.984416
55, 0.999113, 0.990639
56, 0.999114, 0.992177
57, 0.998925, 0.990794
58, 0.998801, 0.990847
59, 0.998846, 0.991614
60, 0.998995, 0.991511
61, 0.999177, 0.992328
62, 0.99929, 0.992111
63, 0.999296, 0.993107
64, 0.999189, 0.992164
65, 0.998763, 0.991163
66, 0.998636, 0.991312
67, 0.998643, 0.990645
68, 0.998611, 0.990994
69, 0.998573, 0.990839
70, 0.998329, 0.988753
71, 0.997821, 0.986092
72, 0.997076, 0.983286
73, 0.996682, 0.983392
74, 0.996367, 0.983245
75, 0.996077, 0.982019
76, 0.995907, 0.978876
77, 0.995919, 0.978701
78, 0.995846, 0.97825
79, 0.995641, 0.977371
80, 0.995763, 0.97661
81, 0.996112, 0.978031
82, 0.996789, 0.981763
83, 0.997478, 0.985323
84, 0.998195, 0.989186
85, 0.998561, 0.989415
86, 0.998841, 0.989769
87, 0.999007, 0.991272
88, 0.999185, 0.993883
89, 0.999526, 0.994997
90, 0.999818, 0.997298
91, 0.999925, 0.998291
92, 0.999919, 0.996096
93, 0.999835, 0.993949
94, 0.999732, 0.991994
95, 0.99963, 0.99024
96, 0.999513, 0.988216
97, 0.999377, 0.987344
98, 0.999165, 0.985897
99, 0.998913, 0.988384
100, 0.998797, 0.988144
101, 0.998711, 0.988774
102, 0.998764, 0.988857
103, 0.998719, 0.990145
104, 0.99879, 0.990239
105, 0.999215, 0.988641
106, 0.999555, 0.989398
107, 0.999684, 0.987511
108, 0.999654, 0.987239
109, 0.999584, 0.989986
110, 0.999503, 0.990591
111, 0.999451, 0.99048
112, 0.99943, 0.990825
113, 0.999576, 0.993353
114, 0.999696, 0.994787
115, 0.999785, 0.995852
116, 0.999833, 0.996529
117, 0.999815, 0.996863
118, 0.999824, 0.997498
119, 0.999802, 0.997105
120, 0.999812, 0.996976
121, 0.999848, 0.997295
122, 0.999857, 0.997601
123, 0.999893, 0.997938
124, 0.999944, 0.99863
125, 0.999952, 0.998518
126, 0.999916, 0.997743
127, 0.999905, 0.9977
128, 0.999818, 0.996006
129, 0.999752, 0.994473
130, 0.999622, 0.991521
131, 0.999534, 0.987357
