index, AvgSSIM, MinSSIM
0, 0.998017, 0.982466
1, 0.99469, 0.956646
2, 0.992023, 0.936524
3, 0.990224, 0.924963
4, 0.989327, 0.918922
5, 0.988823, 0.915981
6, 0.988534, 0.912968
7, 0.988634, 0.913161
8, 0.988969, 0.916213
9, 0.989166, 0.916894
10, 0.989234, 0.917543
11, 0.989255, 0.916577
12, 0.989384, 0.915296
13, 0.989596, 0.916558
14, 0.989676, 0.917313
15, 0.990018, 0.917565
16, 0.990391, 0.917842
17, 0.990777, 0.918105
18, 0.990555, 0.915108
19, 0.990665, 0.916022
20, 0.990616, 0.914439
21, 0.9905, 0.913298
22, 0.990045, 0.907892
23, 0.989976, 0.906425
24, 0.990066, 0.907407
25, 0.990225, 0.910563
26, 0.990584, 0.914644
27, 0.990762, 0.919205
28, 0.991413, 0.92754
29, 0.992156, 0.934674
30, 0.992707, 0.941112
31, 0.993216, 0.945045
32, 0.993467, 0.944327
33, 0.993631, 0.942672
34, 0.9935, 0.940722
35, 0.993398, 0.939681
36, 0.99334, 0.93795
37, 0.993079, 0.934345
38, 0.992717, 0.929837
39, 0.992594, 0.927493
40, 0.99244, 0.923752
41, 0.992276, 0.919203
42, 0.992534, 0.919283
43, 0.99289, 0.919035
44, 0.992834, 0.915495
45, 0.992801, 0.914922
46, 0.993014, 0.916695
47, 0.993271, 0.91866
48, 0.993304, 0.916715
49, 0.993455, 0.917711
50, 0.993608, 0.919869
51, 0.993708, 0.918881
52, 0.994059, 0.921717
53, 0.994732, 0.928937
54, 0.995205, 0.933263
55, 0.995477, 0.938363
56, 0.995774, 0.944359
57, 0.995777, 0.946214
58, 0.99577, 0.945226
59, 0.995825, 0.945175
60, 0.995814, 0.948444
61, 0.995846, 0.951175
62, 0.99583, 0.947061
63, 0.995615, 0.939775
64, 0.995661, 0.936196
65, 0.995531, 0.938314
66, 0.995451, 0.944339
67, 0.995446, 0.947702
68, 0.995527, 0.950845
69, 0.99558, 0.953835
70, 0.995614, 0.954271
71, 0.995708, 0.954671
72, 0.995984, 0.951968
73, 0.996408, 0.952941
74, 0.996629, 0.953395
75, 0.996703, 0.956486
76, 0.996983, 0.96551
77, 0.996981, 0.967309
78, 0.996767, 0.962264
79, 0.996726, 0.961487
80, 0.996845, 0.963281
81, 0.996969, 0.976129
82, 0.997198, 0.976931
83, 0.997804, 0.983417
84, 0.998228, 0.985085
85, 0.998494, 0.985381
86, 0.998632, 0.985759
87, 0.998684, 0.987066
88, 0.998595, 0.987887
89, 0.998508, 0.986779
90, 0.998357, 0.984694
91, 0.998278, 0.984209
92, 0.998272, 0.98438
93, 0.998417, 0.985947
94, 0.998484, 0.985732
95, 0.998564, 0.984206
96, 0.998562, 0.98305
97, 0.998539, 0.979145
98, 0.998464, 0.976757
99, 0.998324, 0.976555
100, 0.998239, 0.975861
101, 0.998135, 0.976302
102, 0.998129, 0.977188
103, 0.997991, 0.978285
104, 0.997959, 0.980853
105, 0.998125, 0.982041
106, 0.998429, 0.983093
107, 0.998648, 0.981699
108, 0.998714, 0.980563
109, 0.998798, 0.979387
110, 0.998905, 0.979234
111, 0.99907, 0.9779
112, 0.999224, 0.977051
113, 0.999229, 0.97676
114, 0.999227, 0.978373
115, 0.999323, 0.979798
116, 0.999375, 0.98319
117, 0.999347, 0.984805
118, 0.999327, 0.986641
119, 0.999282, 0.988675
120, 0.999195, 0.987991
121, 0.999156, 0.987176
122, 0.998964, 0.984668
123, 0.998752, 0.974901
124, 0.998568, 0.968814
125, 0.998434, 0.962751
126, 0.998281, 0.957566
127, 0.9981, 0.953514
128, 0.997983, 0.953119
129, 0.997933, 0.952295
130, 0.997932, 0.954205
131, 0.997911, 0.969665
132, 0.997899, 0.968467
133, 0.997852, 0.967437
134, 0.997926, 0.968668
135, 0.997993, 0.973237
136, 0.99803, 0.97724
137, 0.998105, 0.978407
138, 0.998048, 0.978484
139, 0.997995, 0.977925
140, 0.998088, 0.976605
141, 0.998214, 0.976614
142, 0.99832, 0.977109
143, 0.998308, 0.977951
144, 0.998244, 0.978423
145, 0.998182, 0.977223
146, 0.998202, 0.974567
147, 0.998248, 0.972319
148, 0.998275, 0.971673
149, 0.998399, 0.974962
150, 0.998587, 0.976733
151, 0.99868, 0.979951
152, 0.998669, 0.981475
153, 0.998702, 0.983852
154, 0.998759, 0.985436
155, 0.998787, 0.984784
156, 0.998717, 0.981402
157, 0.998707, 0.980207
158, 0.998622, 0.976011
159, 0.998621, 0.975145
160, 0.998624, 0.978428
161, 0.998597, 0.978107
162, 0.998527, 0.974739
163, 0.99854, 0.972766
164, 0.998514, 0.971661
165, 0.998582, 0.973907
166, 0.998592, 0.974733
167, 0.998601, 0.975103
168, 0.998595, 0.975411
169, 0.998582, 0.977314
170, 0.998567, 0.978335
171, 0.998523, 0.978511
172, 0.998471, 0.978555
173, 0.998427, 0.978061
174, 0.99829, 0.976414
175, 0.998107, 0.972695
176, 0.997869, 0.968449
177, 0.997649, 0.96701
178, 0.99759, 0.965013
179, 0.99749, 0.962859
180, 0.997431, 0.961349
181, 0.997381, 0.961412
182, 0.99732, 0.962523
183, 0.997264, 0.962498
184, 0.997303, 0.964734
185, 0.997379, 0.96655
186, 0.997378, 0.964206
187, 0.997399, 0.962105
188, 0.997469, 0.9634
189, 0.997476, 0.96576
190, 0.997395, 0.966759
191, 0.997389, 0.966453
192, 0.997402, 0.965489
193, 0.997405, 0.964991
194, 0.997428, 0.96673
195, 0.997462, 0.967133
196, 0.997505, 0.967364
197, 0.997584, 0.969603
198, 0.99772, 0.97204
199, 0.997795, 0.973253
200, 0.997886, 0.975182
201, 0.997926, 0.9757
202, 0.99795, 0.976861
203, 0.997996, 0.977656
204, 0.997902, 0.974059
205, 0.997731, 0.971431
206, 0.997611, 0.969974
207, 0.997442, 0.96771
208, 0.99732, 0.965337
209, 0.997323, 0.96381
210, 0.997292, 0.963613
211, 0.997183, 0.960018
212, 0.997008, 0.956228
213, 0.996974, 0.955953
214, 0.996951, 0.956963
215, 0.996897, 0.959012
216, 0.996844, 0.958788
217, 0.996968, 0.962575
218, 0.996976, 0.963695
219, 0.997004, 0.963875
220, 0.99718, 0.962639
221, 0.997413, 0.965211
222, 0.997563, 0.968686
223, 0.997671, 0.969123
224, 0.997752, 0.968282
225, 0.997762, 0.9668
226, 0.997644, 0.965724
227, 0.997397, 0.967187
228, 0.997215, 0.967117
229, 0.99683, 0.963695
230, 0.996425, 0.961083
231, 0.996209, 0.960009
232, 0.995813, 0.954175
233, 0.995723, 0.951944
234, 0.995493, 0.951959
235, 0.995603, 0.955494
236, 0.996155, 0.957862
237, 0.996322, 0.958109
238, 0.996457, 0.956318
239, 0.996621, 0.959286
240, 0.996789, 0.962111
241, 0.996973, 0.965067
242, 0.997042, 0.966549
243, 0.997119, 0.969184
244, 0.997139, 0.968394
245, 0.997263, 0.971218
246, 0.997334, 0.971384
247, 0.997445, 0.972282
248, 0.99741, 0.971137
