index, AvgSSIM, MinSSIM
0, 0.998502, 0.985072
1, 0.996663, 0.963696
2, 0.995571, 0.948751
3, 0.995037, 0.941444
4, 0.995141, 0.940924
5, 0.995375, 0.942289
6, 0.995606, 0.943817
7, 0.995943, 0.948008
8, 0.996327, 0.950456
9, 0.996551, 0.950873
10, 0.996687, 0.952848
11, 0.996788, 0.956069
12, 0.996877, 0.958658
13, 0.997016, 0.959543
14, 0.997039, 0.957437
15, 0.99727, 0.956314
16, 0.997512, 0.960412
17, 0.997743, 0.96252
18, 0.997654, 0.962164
19, 0.997665, 0.964643
20, 0.99761, 0.967107
21, 0.997551, 0.966482
22, 0.99735, 0.96938
23, 0.997311, 0.969306
24, 0.997384, 0.969512
25, 0.997516, 0.969308
26, 0.997689, 0.971264
27, 0.997907, 0.974307
28, 0.998276, 0.975513
29, 0.998646, 0.977154
30, 0.998818, 0.978918
31, 0.998979, 0.982058
32, 0.999095, 0.980846
33, 0.999243, 0.979933
34, 0.999343, 0.981377
35, 0.999402, 0.983389
36, 0.999432, 0.982151
37, 0.999381, 0.98201
38, 0.999277, 0.980731
39, 0.999234, 0.982507
40, 0.999174, 0.981622
41, 0.999114, 0.982495
42, 0.999147, 0.983397
43, 0.999213, 0.980807
44, 0.99913, 0.976299
45, 0.999048, 0.974349
46, 0.999081, 0.977552
47, 0.999151, 0.978704
48, 0.999165, 0.978173
49, 0.999245, 0.980378
50, 0.999315, 0.981659
51, 0.999487, 0.981125
52, 0.999637, 0.985549
53, 0.999749, 0.986665
54, 0.999768, 0.986938
55, 0.999745, 0.988397
56, 0.999713, 0.98802
57, 0.999697, 0.987958
58, 0.999671, 0.987915
59, 0.999648, 0.98761
60, 0.999591, 0.986078
61, 0.999554, 0.984692
62, 0.999502, 0.983995
63, 0.999455, 0.983429
64, 0.999434, 0.982143
65, 0.999424, 0.981825
66, 0.999453, 0.982968
67, 0.99952, 0.984209
68, 0.999595, 0.98758
69, 0.999573, 0.986153
70, 0.999588, 0.985453
71, 0.999598, 0.985672
72, 0.99961, 0.984482
73, 0.999614, 0.984058
74, 0.999586, 0.983215
75, 0.999584, 0.983959
76, 0.999567, 0.985036
77, 0.999566, 0.984872
78, 0.999572, 0.984989
79, 0.999632, 0.983865
80, 0.999651, 0.981352
81, 0.999624, 0.979347
82, 0.999604, 0.980133
83, 0.999557, 0.982989
84, 0.99956, 0.983217
85, 0.999574, 0.984414
86, 0.99969, 0.989371
87, 0.99965, 0.988156
88, 0.999556, 0.985944
89, 0.999493, 0.980514
90, 0.999433, 0.977173
91, 0.999381, 0.97588
92, 0.999398, 0.973743
93, 0.999359, 0.971755
94, 0.9992, 0.969875
95, 0.999064, 0.970186
96, 0.998917, 0.96733
97, 0.998694, 0.965085
98, 0.998454, 0.962667
99, 0.998169, 0.960232
100, 0.998091, 0.958399
101, 0.997997, 0.955607
102, 0.997989, 0.9537
103, 0.997882, 0.952353
104, 0.997895, 0.951319
105, 0.998181, 0.949872
106, 0.998684, 0.948498
107, 0.999164, 0.947248
