index, AvgSSIM, MinSSIM
0, 0.998083, 0.982918
1, 0.994981, 0.957026
2, 0.992651, 0.936967
3, 0.991174, 0.927217
4, 0.990592, 0.922171
5, 0.990357, 0.919392
6, 0.9903, 0.916652
7, 0.990572, 0.918289
8, 0.991026, 0.920659
9, 0.991314, 0.920305
10, 0.991472, 0.921476
11, 0.991572, 0.921713
12, 0.991735, 0.920595
13, 0.991959, 0.922157
14, 0.992031, 0.923159
15, 0.992359, 0.922021
16, 0.992704, 0.922579
17, 0.993058, 0.92336
18, 0.99284, 0.919691
19, 0.992882, 0.922505
20, 0.992774, 0.925403
21, 0.992619, 0.925413
22, 0.99217, 0.921498
23, 0.992049, 0.920875
24, 0.992106, 0.922485
25, 0.992243, 0.923391
26, 0.992535, 0.926883
27, 0.992729, 0.932021
28, 0.993339, 0.940594
29, 0.994044, 0.948397
30, 0.994511, 0.952496
31, 0.99497, 0.951603
32, 0.995208, 0.957394
33, 0.995411, 0.957749
34, 0.995407, 0.956928
35, 0.995386, 0.95587
36, 0.995396, 0.955898
37, 0.995204, 0.952247
38, 0.994895, 0.948939
39, 0.994796, 0.946776
40, 0.994663, 0.942418
41, 0.994512, 0.940107
42, 0.994682, 0.939973
43, 0.99492, 0.937246
44, 0.994787, 0.934447
45, 0.994661, 0.930864
46, 0.994802, 0.929156
47, 0.995008, 0.928677
48, 0.995023, 0.927479
49, 0.995174, 0.929766
50, 0.99533, 0.93234
51, 0.995594, 0.938132
52, 0.996053, 0.944769
53, 0.99669, 0.949551
54, 0.997099, 0.954403
55, 0.997327, 0.959857
56, 0.997539, 0.966855
57, 0.997534, 0.967364
58, 0.997521, 0.966953
59, 0.997546, 0.967148
60, 0.997499, 0.968832
61, 0.997506, 0.968697
62, 0.997457, 0.969045
63, 0.997256, 0.965171
64, 0.997258, 0.962404
65, 0.997139, 0.962989
66, 0.997089, 0.966142
67, 0.99714, 0.970461
68, 0.997308, 0.972681
69, 0.997394, 0.976173
70, 0.99748, 0.976524
71, 0.997596, 0.975967
72, 0.997814, 0.972894
73, 0.998114, 0.972908
74, 0.998239, 0.97304
75, 0.998271, 0.975956
76, 0.99841, 0.983474
77, 0.998373, 0.983487
78, 0.998201, 0.979222
79, 0.998205, 0.976446
80, 0.998314, 0.978607
81, 0.998365, 0.981811
82, 0.998491, 0.983027
83, 0.998817, 0.986315
84, 0.999042, 0.986072
85, 0.999184, 0.9864
86, 0.999374, 0.989539
87, 0.999448, 0.989216
88, 0.999396, 0.988661
89, 0.999358, 0.98731
90, 0.999259, 0.98863
91, 0.99918, 0.988192
92, 0.999173, 0.98812
93, 0.999214, 0.986737
94, 0.999157, 0.982088
95, 0.999095, 0.98053
96, 0.99899, 0.979991
97, 0.998872, 0.977163
98, 0.998693, 0.975294
99, 0.998458, 0.974731
100, 0.99836, 0.974673
101, 0.998215, 0.973666
102, 0.998168, 0.97382
103, 0.997989, 0.975722
104, 0.997917, 0.977436
105, 0.998093, 0.977833
106, 0.998499, 0.9802
107, 0.998881, 0.981738
108, 0.999073, 0.981722
109, 0.999215, 0.98015
110, 0.999313, 0.980075
111, 0.999443, 0.97837
112, 0.999568, 0.977332
113, 0.999576, 0.977426
114, 0.999553, 0.976593
115, 0.999574, 0.978218
116, 0.999621, 0.97881
117, 0.999623, 0.979055
118, 0.999647, 0.980482
119, 0.999623, 0.981413
120, 0.999588, 0.980232
121, 0.999564, 0.979608
122, 0.999457, 0.980029
123, 0.999321, 0.976682
124, 0.999214, 0.973312
125, 0.999164, 0.965221
126, 0.999094, 0.966093
127, 0.998966, 0.963949
128, 0.998879, 0.962225
129, 0.998851, 0.962704
130, 0.998846, 0.964113
131, 0.998834, 0.97554
132, 0.998809, 0.979289
133, 0.998745, 0.978536
134, 0.998755, 0.978558
135, 0.998746, 0.98165
136, 0.998743, 0.979866
137, 0.998775, 0.978848
138, 0.998734, 0.978504
139, 0.998698, 0.979595
140, 0.998785, 0.980548
141, 0.998888, 0.979155
142, 0.99895, 0.977776
143, 0.998903, 0.976173
144, 0.99885, 0.976081
145, 0.998771, 0.974776
146, 0.998776, 0.974627
147, 0.998819, 0.974684
148, 0.998846, 0.974944
149, 0.998917, 0.974975
150, 0.999044, 0.974863
151, 0.999101, 0.97391
152, 0.999082, 0.971389
153, 0.999095, 0.972336
154, 0.999115, 0.972442
155, 0.999156, 0.973503
156, 0.999158, 0.974238
157, 0.999177, 0.975755
158, 0.999122, 0.976703
159, 0.999109, 0.978373
160, 0.999087, 0.978412
161, 0.999044, 0.975829
162, 0.998973, 0.975634
163, 0.998954, 0.973122
164, 0.998942, 0.972637
165, 0.998991, 0.971223
166, 0.999001, 0.969626
167, 0.998979, 0.966452
168, 0.998944, 0.965394
169, 0.99893, 0.96606
170, 0.998938, 0.969002
171, 0.998927, 0.96959
172, 0.998906, 0.970053
173, 0.998882, 0.969719
174, 0.998763, 0.967651
175, 0.998626, 0.966372
176, 0.998475, 0.965465
177, 0.998326, 0.966286
178, 0.998321, 0.967639
179, 0.998254, 0.970198
180, 0.998223, 0.97059
181, 0.998157, 0.970594
182, 0.998081, 0.971591
183, 0.998027, 0.971426
184, 0.998067, 0.971558
185, 0.998147, 0.971836
186, 0.99815, 0.972719
187, 0.998158, 0.974602
188, 0.998217, 0.976761
189, 0.998241, 0.977889
190, 0.998191, 0.978599
191, 0.998191, 0.979301
192, 0.998228, 0.979068
193, 0.998243, 0.979744
194, 0.998274, 0.978488
195, 0.998302, 0.979997
196, 0.99832, 0.980787
197, 0.99835, 0.978308
198, 0.99844, 0.976178
199, 0.998502, 0.973239
200, 0.9986, 0.974835
201, 0.998655, 0.979214
202, 0.998704, 0.980903
203, 0.998761, 0.982622
204, 0.998686, 0.982352
205, 0.998546, 0.981128
206, 0.998427, 0.978161
207, 0.998264, 0.974539
208, 0.998148, 0.971679
209, 0.99816, 0.970988
210, 0.998113, 0.971255
211, 0.997993, 0.971704
212, 0.997821, 0.971448
213, 0.99777, 0.973061
214, 0.997782, 0.974597
215, 0.997759, 0.975381
216, 0.997743, 0.976163
217, 0.997857, 0.976733
